name,type,approaches,coords,special surface
16-34,utility,visual visual,(37.5167 77.3236) (37.4958 77.3069),TRUE
2-20,precision_instrument_runway,precision_instrument precision_instrument,(37.5165 77.3244) (37.4989 77.3297),FALSE
